IDs	SMILES
CDK_Depict_1_2	C\1=C/C(=N\Br)/C(=C/C1=N/Br)Cl
CDK_Depict_1_4	CSP1(=S)SP(=S)(S1)SC
CDK_Depict_1_5	CCCCCCCCCCCCCCCCSCCCCPCOO
CDK_Depict_1_6	C[C@@H]1CC[C@H]2[C@@]3(CO3)C(O[C@H]4[C@@]25[C@H]1CC[C@](O4)(OO5)C)O
CDK_Depict_1_7	C1C[C@H]([C@@H](C1)O)CCCO
CDK_Depict_1_8	C1=CC=NC(=C1)N2C=CSN2
CDK_Depict_1_9	CCSN1CCN(CC1)SCC
CDK_Depict_1_11	B(C(C(O)F)N(CCO)CCO)(F)F
CDK_Depict_1_12	C1(=C(C(=O)SC1=O)Cl)Cl
CDK_Depict_1_13	CSC[C@@H](C(=O)O)N
CDK_Depict_1_15	[2H]C1=CC(=C(C=C1C([2H])([2H])[2H])[2H])C
CDK_Depict_1_16	CN(C)C1=CC1=NC#N
CDK_Depict_1_17	CC(C)(C#N)[C@@H]1CC=C(C1)OS(=O)(=O)C(F)(F)F
CDK_Depict_1_18	CC(=C[C@@H]1[C@@H](C1(C)C)C(=O)O)C
CDK_Depict_1_19	CC(/C=C/C#N)C=O
CDK_Depict_1_20	C[C@@H](/C=C/[C@@]1([C@](CCCC1(C)C)(C)O)O)O
CDK_Depict_1_21	C(=NSN=C=O)=O
CDK_Depict_1_23	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O
CDK_Depict_1_24	CO/C(=C/C1=CC=CC=C1)/C#N
CDK_Depict_1_25	CSC(=S)C(SC)(SC)SC
CDK_Depict_1_26	B(Cl)(/C=C/Cl)/C=C/Cl
CDK_Depict_1_27	C1=C(NC=N1)C[C@@H](C(=O)O)N
CDK_Depict_1_28	C[C@@H]1CCCC1C
CDK_Depict_1_29	C1=C(SC(=O)N1)CCl
CDK_Depict_1_30	C(=NC(C(F)(F)Br)(F)Br)=O
CDK_Depict_1_31	B1BBB1
CDK_Depict_1_32	CC(C)(C)OC(=O)NNC[C@@H]1CCOC1=O
CDK_Depict_1_33	B(=C(C)CC)OC#N
CDK_Depict_1_34	B(CC)(CC)OS(=O)(=O)OB(CC)CC
CDK_Depict_1_35	C1CCC(CC1)N=P(C(Cl)(Cl)Cl)(C(Cl)(Cl)Cl)Cl
